,Original Sentence,Lemmatized_text,Stemmed_text
14,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","[['Just', 'registered', 'a', 'an', '@apple', 'developer...', ""Here's"", 'hoping', 'I', 'can', 'actually', 'do', 'it...', 'Any', 'help,', 'greatly', 'appreciated!']]","[['just', 'regist', 'as', 'an', '@appl', 'developer...', ""here'"", 'hope', 'i', 'can', 'actual', 'do', 'it...', 'ani', 'help,', 'greatli', 'appreciated!']]"
15,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.","[['Hey', '@apple,', 'if', 'you', 'send', 'me', 'a', 'free', 'iPhone', '(any', 'version', 'will', 'do),', 'I', 'will', 'publicly', 'and', 'ceremoniously', 'burn', 'my', '#BlackBerry.']]","[['hey', '@apple,', 'if', 'you', 'send', 'me', 'a', 'free', 'iphon', '(ani', 'version', 'will', 'do),', 'i', 'will', 'publicli', 'and', 'ceremoni', 'burn', 'my', '#blackberry.']]"
16,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,"[['Thank', 'you', '@apple', 'for', 'Find', 'My', 'Mac', '-', 'just', 'located', 'and', 'wiped', 'my', 'stolen', 'Air.', '#smallvictory', '#thievingbastards']]","[['thank', 'you', '@appl', 'for', 'find', 'my', 'mac', '-', 'just', 'locat', 'and', 'wipe', 'my', 'stolen', 'air.', '#smallvictori', '#thievingbastard']]"
17,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.","[['Thanks', 'to', '@Apple', 'Covent', 'Garden', '#GeniusBar', 'for', 'replacing', 'my', 'MacBook', 'keyboard/cracked', 'wristpad', 'during', 'my', 'lunch', 'break', 'today,', 'out', 'of', 'warranty.']]","[['thank', 'to', '@appl', 'covent', 'garden', '#geniusbar', 'for', 'replac', 'my', 'macbook', 'keyboard/crack', 'wristpad', 'dure', 'my', 'lunch', 'break', 'today,', 'out', 'of', 'warranty.']]"
18,@DailyDealChat @apple Thanks!!,"[['@DailyDealChat', '@apple', 'Thanks!!']]","[['@dailydealchat', '@appl', 'thanks!!']]"
19,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,"[['iPads', 'Replace', 'Bound', 'Playbooks', 'on', 'Some', 'N.F.L.', 'Teams', 'http://t.co/2UXAWKwf', '@apple', '@nytimes']]","[['ipad', 'replac', 'bound', 'playbook', 'on', 'some', 'n.f.l.', 'team', 'http://t.co/2uxawkwf', '@appl', '@nytim']]"
20,@apple..good ipad,"[['@apple..good', 'ipad']]","[['@apple..good', 'ipad']]"
21,@apple @siri is efffing amazing!!,"[['@apple', '@siri', 'is', 'efffing', 'amazing!!']]","[['@appl', '@siri', 'is', 'eff', 'amazing!!']]"
22,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM,"[['Amazing', 'new', '@Apple', 'iOs', '5', 'feature.', 'http://t.co/jatFVfpM']]","[['amaz', 'new', '@appl', 'io', '5', 'feature.', 'http://t.co/jatfvfpm']]"
23,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","[['RT', '@TripLingo:', ""We're"", 'one', 'of', 'a', 'few', '""Featured', 'Education', 'Apps""', 'on', 'the', '@Apple', '**Website**', 'today,', 'sweet!', 'http://t.co/0yWvbe1Z']]","[['rt', '@triplingo:', ""we'r"", 'one', 'of', 'a', 'few', '""featur', 'educ', 'apps""', 'on', 'the', '@appl', '**website**', 'today,', 'sweet!', 'http://t.co/0ywvbe1z']]"
24,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","[[""We're"", 'one', 'of', 'a', 'few', '""Featured', 'Education', 'Apps""', 'on', 'the', '@Apple', '**Website**', 'today,', 'sweet!', 'http://t.co/0yWvbe1Z']]","[[""we'r"", 'one', 'of', 'a', 'few', '""featur', 'educ', 'apps""', 'on', 'the', '@appl', '**website**', 'today,', 'sweet!', 'http://t.co/0ywvbe1z']]"
25,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,"[['We', 'did', 'an', 'unexpected', 'workshop', 'for', 'the', '#iPhone4S', 'at', '@apple', 'yesterday', 'and', 'we', 'got', 'an', 'awesome', 'amount', 'of', 'info', '#notjustaboutthephone', '@gamerchik16']]","[['we', 'did', 'an', 'unexpect', 'workshop', 'for', 'the', '#iphone4', 'at', '@appl', 'yesterday', 'and', 'we', 'got', 'an', 'awesom', 'amount', 'of', 'info', '#notjustaboutthephon', '@gamerchik16']]"
26,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,"[['RT', '@imightbewrong:', ""I'm"", 'OVER', 'people', 'bitching', 'about', 'the', '#iPhone4S...', 'I', 'think', ""it's"", 'the', 'smartest', 'phone', ""I've"", 'ever', 'had', 'and', ""I'm"", 'very', 'happy.', ':', '...']]","[['rt', '@imightbewrong:', ""i'm"", 'over', 'peopl', 'bitch', 'about', 'the', '#iphone4s...', 'i', 'think', ""it'"", 'the', 'smartest', 'phone', ""i'v"", 'ever', 'had', 'and', ""i'm"", 'veri', 'happy.', ':', '...']]"
27,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,"[[""I'm"", 'OVER', 'people', 'bitching', 'about', 'the', '#iPhone4S...', 'I', 'think', ""it's"", 'the', 'smartest', 'phone', ""I've"", 'ever', 'had', 'and', ""I'm"", 'very', 'happy.', ':)', 'Way', 'to', 'go', '@Apple!']]","[[""i'm"", 'over', 'peopl', 'bitch', 'about', 'the', '#iphone4s...', 'i', 'think', ""it'"", 'the', 'smartest', 'phone', ""i'v"", 'ever', 'had', 'and', ""i'm"", 'veri', 'happy.', ':)', 'way', 'to', 'go', '@apple!']]"
28,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,"[['@Twitter', 'CEO', 'point', 'to', '@Apple', 'a', ""'corporate"", ""mentor'"", 'a', '@iOS', 'signups', 'triple', 'http://t.co/GCY8iphN']]","[['@twitter', 'ceo', 'point', 'to', '@appl', 'as', ""'corpor"", ""mentor'"", 'as', '@io', 'signup', 'tripl', 'http://t.co/gcy8iphn']]"
29,At the bus with my iPhone ;) thxx @apple,"[['At', 'the', 'bus', 'with', 'my', 'iPhone', ';)', 'thxx', '@apple']]","[['at', 'the', 'bu', 'with', 'my', 'iphon', ';)', 'thxx', '@appl']]"
30,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.","[['@azee1v1', '@apple', '@umber', 'AppStore', 'is', 'well', 'done,', 'so', 'is', 'iTunes', 'on', 'the', 'mobile', 'devices.', 'I', 'wa', 'talking', 'about', 'desktop', 'app.']]","[['@azee1v1', '@appl', '@umber', 'appstor', 'is', 'well', 'done,', 'so', 'is', 'itun', 'on', 'the', 'mobil', 'devices.', 'i', 'wa', 'talk', 'about', 'desktop', 'app.']]"
31,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,"[['NYTimes:', 'Coach', 'Wants', 'to', 'See', 'You.', 'And', 'Bring', 'Your', 'iPad.', 'http://t.co/J2FTiEnG', '#iPad', '@apple', 'set', 'red', '42', 'red', '42', 'hut', 'hut', '@NFL', 'wish', 'I', 'had', 'an', '#iPad']]","[['nytimes:', 'coach', 'want', 'to', 'see', 'you.', 'and', 'bring', 'your', 'ipad.', 'http://t.co/j2ftieng', '#ipad', '@appl', 'set', 'red', '42', 'red', '42', 'hut', 'hut', '@nfl', 'wish', 'i', 'had', 'an', '#ipad']]"
32,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,"[['@apple', '@jilive', '@DanielPink:', 'Apple', 'sell', '4', 'million', 'iPhone', '4S', 'unit', 'in', 'first', 'weekend', '...', 'Steve', 'Jobs', 'brilliance', 'life', 'on', 'for', 'ever!', '#iphone', '#RVA']]","[['@appl', '@jiliv', '@danielpink:', 'appl', 'sell', '4', 'million', 'iphon', '4s', 'unit', 'in', 'first', 'weekend', '...', 'steve', 'job', 'brillianc', 'live', 'on', 'for', 'ever!', '#iphon', '#rva']]"
33,@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!,"[['@blackberry', 'is', 'like', 'the', '#Titanic', 'and', 'it', 'seems', 'everyone', 'is', 'running', 'for', 'the', '@apple', '#iPhone', 'life', 'raft', 'and', 'there', ""won't"", 'be', 'enough', 'for', 'everyone!']]","[['@blackberri', 'is', 'like', 'the', '#titan', 'and', 'it', 'seem', 'everyon', 'is', 'run', 'for', 'the', '@appl', '#iphon', 'life', 'raft', 'and', 'there', ""won't"", 'be', 'enough', 'for', 'everyone!']]"
34,@bkad5161 than apologize to @apple ;),"[['@bkad5161', 'than', 'apologize', 'to', '@apple', ';)']]","[['@bkad5161', 'than', 'apolog', 'to', '@appl', ';)']]"
35,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX,"[['@Apple', 'downloads', 'of', 'iOS', '5', 'are', 'proving', 'popular', 'with', 'user', '--', 'http://t.co/NSHLfiUX']]","[['@appl', 'download', 'of', 'io', '5', 'are', 'prove', 'popular', 'with', 'user', '--', 'http://t.co/nshlfiux']]"
36,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI","[['Lmfao', 'look', 'at', 'the', 'argument', 'I', 'had', 'with', 'Siri', '!!', '@ijustine', '@apple', 'http://t.co/D4VjL7SI']]","[['lmfao', 'look', 'at', 'the', 'argument', 'i', 'had', 'with', 'siri', '!!', '@ijustin', '@appl', 'http://t.co/d4vjl7si']]"
37,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,"[['Incredible:', '4', 'million', 'iPhone', '4Ss', 'in', '3', 'days.', '135%', 'better', 'than', 'the', 'iPhone', '4', 'http://t.co/1FMJxTMM', '@apple', '#iphone4s']]","[['incredible:', '4', 'million', 'iphon', '4ss', 'in', '3', 'days.', '135%', 'better', 'than', 'the', 'iphon', '4', 'http://t.co/1fmjxtmm', '@appl', '#iphone4']]"
38,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple,"[['Save', 'me', 'from', ""#HP's"", 'unwanted', 'OS!', 'Help', 'me', 'buy', 'an', '#iPhone!', 'I', 'have', 'seen', 'the', 'light!', '#lol', 'http://t.co/8gUP9Acz', '#backchannel', '@apple']]","[['save', 'me', 'from', ""#hp'"", 'unwant', 'os!', 'help', 'me', 'buy', 'an', '#iphone!', 'i', 'have', 'seen', 'the', 'light!', '#lol', 'http://t.co/8gup9acz', '#backchannel', '@appl']]"
39,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,"[['Well', '@apple', 'fixed', 'my', '#ios5', 'battery', 'drain', 'problem', 'with', 'a', 'replacement', 'iPhone', '4', '--', ""it's"", 'working', 'like', 'a', 'champ', 'now']]","[['well', '@appl', 'fix', 'my', '#ios5', 'batteri', 'drain', 'problem', 'with', 'a', 'replac', 'iphon', '4', '--', ""it'"", 'work', 'like', 'a', 'champ', 'now']]"
40,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,"[['Currently', 'ordering', 'a', 'BRAND', 'NEW', 'MACBOOK', 'PRO!!!', 'Bahhh...', 'my', 'MacBook', 'is', '5', 'year', 'old.', ""I'll"", 'miss', 'it.', 'But', ""it's"", 'time.', 'cc:', '@Apple', '-']]","[['current', 'order', 'a', 'brand', 'new', 'macbook', 'pro!!!', 'bahhh...', 'my', 'macbook', 'is', '5', 'year', 'old.', ""i'll"", 'miss', 'it.', 'but', ""it'"", 'time.', 'cc:', '@appl', '-']]"
41,you are so blessed. @apple,"[['you', 'are', 'so', 'blessed.', '@apple']]","[['you', 'are', 'so', 'blessed.', '@appl']]"
42,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple","[['#Siri', 'now', 'know', 'who', 'my', 'dad,', 'mom,', 'brother', 'and', 'girlfriend', 'is.', 'Thanks', '@apple']]","[['#siri', 'now', 'know', 'who', 'my', 'dad,', 'mom,', 'brother', 'and', 'girlfriend', 'is.', 'thank', '@appl']]"
43,Well at least the @apple store has amazing call waiting music! #need4s,"[['Well', 'at', 'least', 'the', '@apple', 'store', 'ha', 'amazing', 'call', 'waiting', 'music!', '#need4s']]","[['well', 'at', 'least', 'the', '@appl', 'store', 'ha', 'amaz', 'call', 'wait', 'music!', '#need4']]"
44,#sweet... #apple replaced my glass #probono. thank you @apple,"[['#sweet...', '#apple', 'replaced', 'my', 'glass', '#probono.', 'thank', 'you', '@apple']]","[['#sweet...', '#appl', 'replac', 'my', 'glass', '#probono.', 'thank', 'you', '@appl']]"
45,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,"[['Not', 'Bad!', '@Apple', 'Sells', 'Over', '4', 'Million', '#IPhones', 'in', 'Debut', 'Weekend', '-', 'Bloomberg', 'http://t.co/AVSl3ygU', '-', '#smartphone', '#sm', 'RT', '@VinodRad']]","[['not', 'bad!', '@appl', 'sell', 'over', '4', 'million', '#iphon', 'in', 'debut', 'weekend', '-', 'bloomberg', 'http://t.co/avsl3ygu', '-', '#smartphon', '#sm', 'rt', '@vinodrad']]"
46,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology","[['loving', 'new', 'technology', 'from', '@apple', 'iPhone', '4s,', 'mac', 'air', 'and', 'iCloud', 'are', 'unreal', '#technology']]","[['love', 'new', 'technolog', 'from', '@appl', 'iphon', '4s,', 'mac', 'air', 'and', 'icloud', 'are', 'unreal', '#technolog']]"
47,I'm loving this new IOS5 update :) @apple,"[[""I'm"", 'loving', 'this', 'new', 'IOS5', 'update', ':)', '@apple']]","[[""i'm"", 'love', 'thi', 'new', 'ios5', 'updat', ':)', '@appl']]"
48,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,"[['Another', 'mention', 'for', 'Apple', 'Store:', 'http://t.co/fiIOApKt', '-', 'RT', '@floridamike', 'Once', 'again', 'getting', 'great', 'customer', 'service', 'from', 'the', '@apple', 'store', '...']]","[['anoth', 'mention', 'for', 'appl', 'store:', 'http://t.co/fiioapkt', '-', 'rt', '@floridamik', 'onc', 'again', 'get', 'great', 'custom', 'servic', 'from', 'the', '@appl', 'store', '...']]"
49,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,"[['Time', 'to', 'go', 'get', 'my', 'iPhone', '4s.', 'Looking', 'forward', 'to', 'sticking', 'it', 'to', 'the', 'man', 'by', 'no', 'longer', 'paying', 'for', 'most', 'texts.', 'Thanks', '@apple.']]","[['time', 'to', 'go', 'get', 'my', 'iphon', '4s.', 'look', 'forward', 'to', 'stick', 'it', 'to', 'the', 'man', 'by', 'no', 'longer', 'pay', 'for', 'most', 'texts.', 'thank', '@apple.']]"
50,hey @apple I hate my computer i need a #mack wanna send me a free one.,"[['hey', '@apple', 'I', 'hate', 'my', 'computer', 'i', 'need', 'a', '#mack', 'wanna', 'send', 'me', 'a', 'free', 'one.']]","[['hey', '@appl', 'i', 'hate', 'my', 'comput', 'i', 'need', 'a', '#mack', 'wanna', 'send', 'me', 'a', 'free', 'one.']]"
51,Thank you @apple. My new gf(iphone4s) is great!  She does everything!,"[['Thank', 'you', '@apple.', 'My', 'new', 'gf(iphone4s)', 'is', 'great!', 'She', 'doe', 'everything!']]","[['thank', 'you', '@apple.', 'my', 'new', 'gf(iphone4s)', 'is', 'great!', 'she', 'doe', 'everything!']]"
52,#iCloud set up was flawless and works like a champ! To the Cloud @Apple,"[['#iCloud', 'set', 'up', 'wa', 'flawless', 'and', 'work', 'like', 'a', 'champ!', 'To', 'the', 'Cloud', '@Apple']]","[['#icloud', 'set', 'up', 'wa', 'flawless', 'and', 'work', 'like', 'a', 'champ!', 'to', 'the', 'cloud', '@appl']]"
53,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,"[['@Wisconsin_Mommy', '@Apple', ""I'd"", 'totally', 'email', 'the', 'company...', 'I', 'always', 'get', 'great', 'service', 'at', 'our', '@Apple', 'store!']]","[['@wisconsin_mommi', '@appl', ""i'd"", 'total', 'email', 'the', 'company...', 'i', 'alway', 'get', 'great', 'servic', 'at', 'our', '@appl', 'store!']]"
54,@apple loving the new IOS5 upgrade for the iPhone!,"[['@apple', 'loving', 'the', 'new', 'IOS5', 'upgrade', 'for', 'the', 'iPhone!']]","[['@appl', 'love', 'the', 'new', 'ios5', 'upgrad', 'for', 'the', 'iphone!']]"
55,The nice @apple tech support guy fixed my iTouch =D,"[['The', 'nice', '@apple', 'tech', 'support', 'guy', 'fixed', 'my', 'iTouch', '=D']]","[['the', 'nice', '@appl', 'tech', 'support', 'guy', 'fix', 'my', 'itouch', '=d']]"
56,Once again getting great customer service from the @apple store at millenia mall.,"[['Once', 'again', 'getting', 'great', 'customer', 'service', 'from', 'the', '@apple', 'store', 'at', 'millenia', 'mall.']]","[['onc', 'again', 'get', 'great', 'custom', 'servic', 'from', 'the', '@appl', 'store', 'at', 'millenia', 'mall.']]"
57,Is it just me or is #iOS5 faster for the iPad? @apple,"[['Is', 'it', 'just', 'me', 'or', 'is', '#iOS5', 'faster', 'for', 'the', 'iPad?', '@apple']]","[['is', 'it', 'just', 'me', 'or', 'is', '#ios5', 'faster', 'for', 'the', 'ipad?', '@appl']]"
58,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek,"[['I', 'love', 'our', '@apple', 'imac', 'even', 'though', 'I', ""haven't"", 'seen', 'my', 'hubby', 'in', '3', 'day', 'now!', '#geek']]","[['i', 'love', 'our', '@appl', 'imac', 'even', 'though', 'i', ""haven't"", 'seen', 'my', 'hubbi', 'in', '3', 'day', 'now!', '#geek']]"
59,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,"[['making', 'the', 'switch', 'from', '@Android', 'to', '@Apple', '#iphone', '#iphone4S', '#smartphone', '#stevejobs', '(@', 'Apple', 'Store)', 'http://t.co/kj6pJvkH']]","[['make', 'the', 'switch', 'from', '@android', 'to', '@appl', '#iphon', '#iphone4', '#smartphon', '#stevejob', '(@', 'appl', 'store)', 'http://t.co/kj6pjvkh']]"
60,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,"[['So', 'THANKFUL', 'for', 'the', 'incredible', 'people', '@apple', 'for', 'going', 'above', 'and', 'beyond', 'and', 'offering', 'to', 'and', 'replacing', 'my', 'water-damaged', 'Macbook', 'Pro!!!', 'Wow!']]","[['so', 'thank', 'for', 'the', 'incred', 'peopl', '@appl', 'for', 'go', 'abov', 'and', 'beyond', 'and', 'offer', 'to', 'and', 'replac', 'my', 'water-damag', 'macbook', 'pro!!!', 'wow!']]"
61,New macbook is too sick @apple,"[['New', 'macbook', 'is', 'too', 'sick', '@apple']]","[['new', 'macbook', 'is', 'too', 'sick', '@appl']]"
62,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1,"[['Play', 'on', 'ma', 'man.', 'Loving', 'the', 'camera', 'in', 'the', '#iphone4s.', 'Well', 'done', '@apple', '#fb', 'http://t.co/tmdFqRe1']]","[['play', 'on', 'ma', 'man.', 'love', 'the', 'camera', 'in', 'the', '#iphone4s.', 'well', 'done', '@appl', '#fb', 'http://t.co/tmdfqre1']]"
63,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.,"[['So', 'yeah...', '@apple', '#iOS5', '#readinglists', 'have', 'changed', 'my', 'life.', '#nowicanspendevenmoretimeonmyphone.']]","[['so', 'yeah...', '@appl', '#ios5', '#readinglist', 'have', 'chang', 'my', 'life.', '#nowicanspendevenmoretimeonmyphone.']]"
64,@Apple Safari Reader owns the worldwide web,"[['@Apple', 'Safari', 'Reader', 'owns', 'the', 'worldwide', 'web']]","[['@appl', 'safari', 'reader', 'own', 'the', 'worldwid', 'web']]"
65,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,"[['I', 'love', '@apple', 'service', '.', 'My', 'case', 'ha', 'cracked', '3x', 'and', 'I', 'go', 'in', 'and', 'they', 'hand', 'me', 'a', 'case', 'and', 'I', 'walk', 'out']]","[['i', 'love', '@appl', 'servic', '.', 'my', 'case', 'ha', 'crack', '3x', 'and', 'i', 'go', 'in', 'and', 'they', 'hand', 'me', 'a', 'case', 'and', 'i', 'walk', 'out']]"
